"Group.1","Group.2","Group.3","V1","V2"
2012,"38F5","Bass",2e-04,1.41
2014,"38F7","Bass",2e-04,3.58
2013,"39E4","Bass",0.0053,32.42
2012,"39E8","Bass",0.0965,536.38
2013,"39E8","Bass",0.1325,885.63
2014,"39E8","Bass",0.0338,248.14
2015,"39E8","Bass",0.0867,764.81
2016,"39E8","Bass",0.387,2562.91
2012,"39E9","Bass",0.0267,167.77
2013,"39E9","Bass",0.0123,79.32
2014,"39E9","Bass",9e-04,6.07
2015,"39E9","Bass",0.0011,8
2016,"39E9","Bass",0.0028,25.77
2013,"39F0","Bass",0.0028,19.64
2012,"39F2","Bass",0.0034,25.39
2013,"39F2","Bass",0.001,11.44
2014,"39F2","Bass",6e-04,6.54
2016,"39F2","Bass",2e-04,1.81
2012,"39F3","Bass",2e-04,1.23
2012,"39F4","Bass",8e-04,6.04
2016,"39F4","Bass",6e-04,2.43
2012,"39F5","Bass",4e-04,3.78
2013,"39F5","Bass",8e-04,5.84
2013,"39F6","Bass",5e-04,2.93
2014,"39F6","Bass",4e-04,2.57
2014,"40E7","Bass",0.0015,10.8
2016,"40E7","Bass",6e-04,4.3
2016,"40F2","Bass",6e-04,5.43
2012,"40F3","Bass",4e-04,2.46
2012,"40F4","Bass",0.0022,14.58
2016,"40F4","Bass",0.001,4.1
2012,"40F5","Bass",6e-04,4.23
2013,"40F5","Bass",3e-04,1.48
2013,"40F6","Bass",4e-04,2.04
2014,"40F6","Bass",0.0012,7.71
2014,"40F7","Bass",3e-04,7.16
2014,"41E7","Bass",8e-04,7.2
2016,"41E7","Bass",0.0015,5.2
2013,"41F1","Bass",9e-04,6.66
2012,"41F4","Bass",0.0066,35.7
2012,"41F5","Bass",0.0026,13.06
2013,"41F6","Bass",0.0014,99.52
2013,"41F7","Bass",4e-04,32.47
2013,"42F6","Bass",3e-04,19.26
2016,"44E7","Bass",0.008,63.5
2013,"45E9","Bass",0.0225,13.53
2013,"45F0","Bass",0.0175,10.47
2012,"19E7","Bass",0.096,96
2012,"19E8","Bass",0.1183,118.38
2015,"21E5","Bass",0.0035,40.23
2012,"26E8","Bass",6e-04,3.3
2013,"26E8","Bass",0.0049,50.99
2013,"27E8","Bass",2e-04,0.76
2015,"27E8","Bass",0.0122,139.08
2014,"26E7","Bass",2e-04,0.8
2012,"16E8","Bass",0.3274,1296.87
2012,"18E8","Bass",4.2899,17653.96
